Email Address,FirstName,MiddleInitial,LastName,Password,Street,City,State,ZipCode,Phone,DOB
dustroud@mail.com,Dustin,P,Stroud,snakes,1212 Rita Rd,Dallas,TX,75221,2142346667,9/1/1932
ericstuart@aool.com,Eric,D,Stuart,loaf,5576 Toro Ring,Austin,TX,78746,5128178335,12/28/1930
peterstump@hootmail.com,Peter,L,Stump,rhythm,1300 Kellen Circle,Houston,TX,77018,8174560903,8/13/1989
tanner@ggmail.com,Jeremy,S,Tanner,kindly,4347 Almstead,Houston,TX,77044,8174590929,5/21/1982
taylordjay@aool.com,Allison,R,Taylor,instrument,467 Nueces St.,Austin,TX,78705,5124748452,1/8/1960
TayTaylor@aool.com,Rachel,K,Taylor,deep,345 Longview Dr.,Austin,TX,78705,5124512631,7/27/1975
teefrank@hootmail.com,Frank,J,Tee,rest,5590 Lavell Dr,Houston,TX,77004,8178765543,4/6/1968
tuck33@ggmail.com,Clent,J,Tucker,approval,312 Main St.,Dallas,TX,75315,2148471154,5/19/1978
avelasco@yaho.com,Allen,G,Velasco,decorate,679 W. 4th,Dallas,TX,75207,2143985638,10/6/1963
westj@pioneer.net,Jake,T,West,geese,RR 3287,Dallas,TX,75323,2148475244,10/14/1993
louielouie@aool.com,Louis,L,Winthorpe,sturdy,2500 Padre Blvd,Dallas,TX,75220,2145650098,5/31/1952
rwood@voyager.net,Reagan,B,Wood,decorous,447 Westlake Dr.,Austin,TX,78746,5124545242,4/24/1992
t.jacobs@longhornbank.neet,Todd,L,Jacobs,society,4564 Elm St.,Houston,TX,77003,8176593544,
e.rice@longhornbank.neet,Eryn,M,Rice,ricearoni,3405 Rio Grande,Dallas,TX,75261,2148475583,
b.ingram@longhornbank.neet,Brad,S,Ingram,ingram45,6548 La Posada Ct.,Austin,TX,78705,5126978613,
a.taylor@longhornbank.neet,Allison,R,Taylor,nostalgic,467 Nueces St.,Dallas,TX,75237,2148965621,
g.martinez@longhornbank.neet,Gregory,R,Martinez,marty,8295 Sunset Blvd.,San Antonio,TX,78239,2105788965,
m.sheffield@longhornbank.neet,Martin,J,Sheffield,longhorns,3886 Avenue A,Austin,TX,78736,5124678821,
j.macleod@longhornbank.neet,Jennifer,D,MacLeod,smitty,2504 Far West Blvd.,Austin,TX,78731,5124653365,
j.tanner@longhornbank.neet,Jeremy,S,Tanner,tanman,4347 Almstead,Austin,TX,78761,5129457399,
m.rhodes@longhornbank.neet,Megan,C,Rhodes,countryrhodes,4587 Enfield Rd.,San Antonio,TX,78293,2102449976,
e.stuart@longhornbank.neet,Eric,F,Stuart,stewboy,5576 Toro Ring,San Antonio,TX,78279,2105344627,
l.chung@longhornbank.neet,Lisa,N,Chung,lisssa,234 RR 12,San Antonio,TX,78268,2106983548,
l.swanson@longhornbank.neet,Leon,,Swanson,swansong,245 River Rd,Austin,TX,78731,5124748138,
w.loter@longhornbank.neet,Wanda,K,Loter,lottery,3453 RR 3235,Austin,TX,78732,5124579845,
j.white@longhornbank.neet,Jason,M,White,evanescent,12 Valley View,Houston,TX,77045,8174955201,
w.montgomery@longhornbank.neet,Wilda,K,Montgomery,monty3,210 Blanco Dr,Houston,TX,77030,8178746718,
h.morales@longhornbank.neet,Hector,N,Morales,hecktour,4501 RR 140,Houston,TX,77031,8177458615,
m.rankin@longhornbank.neet,Mary,T,Rankin,rankmary,340 Second St,Austin,TX,78703,5122926966,
l.walker@longhornbank.neet,Larry,G,Walker,walkamile,9 Bison Circle,Dallas,TX,75238,2143125897,
g.chang@longhornbank.neet,George,M,Chang,changalang,9003 Joshua St,San Antonio,TX,78260,2103450925,
g.gonzalez@longhornbank.neet,Gwen,J,Gonzalez,offbeat,103 Manor Rd,Dallas,TX,75260,2142345566,
